Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A01,7wImac3,Unknown,1,ABCA1,Test,17.7275728934162,1,Pass,0.0139966567593099,77.8089218362421,999,1,
S03-A02,7wImac3,Unknown,1,CD164,Test,15.0495695716843,1,Pass,0.0139966567593099,81.0675768758859,999,1,
S03-A03,7wImac3,Unknown,1,CXCL10,Test,18.7822364338669,0,Fail,0.0139966567593099,81.5653635655436,85.8765541073248,0.0845749828303817,
S03-A04,7wImac3,Unknown,1,IL1A,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A05,7wImac3,Unknown,1,LYVE1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A06,7wImac3,Unknown,1,SPP1,Test,21.0539430360858,0,Fail,0.0139966567593099,999,83.4051299412734,0,
S03-A07,7wImac3,Unknown,1,B2M,Test,8.07356909760095,1,Pass,0.0139966567593099,81.3428979470543,999,1,
S03-A08,7wImac3,Unknown,1,PDL1,Test,17.6619517522722,1,Pass,0.0139966567593099,82.6354469318017,999,1,
S03-A09,7wImac3,Unknown,1,CXCL9,Test,11.178355553872,1,Pass,0.0139966567593099,80.7233383582815,999,1,
S03-A10,7wImac3,Unknown,1,IL1B,Test,13.1976292022626,1,Pass,0.0139966567593099,79.7380626375063,999,1,
