Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062018MHMacrophages3-1\ChipRun.bml,1131431122,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/19/2018 8:39:20 PM,00:31:18,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,7wM5mac30,Unknown,1,ABCA1,Test,15.3935395377445,1,Pass,0.0157067017965434,78.3106312174827,999,1,
S48-A02,7wM5mac30,Unknown,1,CD164,Test,21.1375133388418,0.681247053259426,Pass,0.0157067017965434,81.6104312976448,999,1,
S48-A03,7wM5mac30,Unknown,1,CXCL10,Test,12.693712158962,1,Pass,0.0157067017965434,82.6489569770664,999,1,
S48-A04,7wM5mac30,Unknown,1,IL1A,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A05,7wM5mac30,Unknown,1,LYVE1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A06,7wM5mac30,Unknown,1,SPP1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A07,7wM5mac30,Unknown,1,B2M,Test,9.178913073767,1,Pass,0.0157067017965434,81.8840393841917,999,1,
S48-A08,7wM5mac30,Unknown,1,PDL1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A09,7wM5mac30,Unknown,1,CXCL9,Test,12.5411502311132,1,Pass,0.0157067017965434,81.2157192148877,999,1,
S48-A10,7wM5mac30,Unknown,1,IL1B,Test,10.3204919026757,1,Pass,0.0157067017965434,80.127184196581,999,1,
S48-A11,7wM5mac30,Unknown,1,MDK,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A12,7wM5mac30,Unknown,1,TLR4,Test,18.2361557363426,1,Pass,0.0157067017965434,79.712171613827,999,1,
S48-A13,7wM5mac30,Unknown,1,CCL1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A14,7wM5mac30,Unknown,1,CD40,Test,15.4181006447734,1,Pass,0.0157067017965434,82.7288008126442,999,1,
S48-A15,7wM5mac30,Unknown,1,F4-80,Test,17.724884136978,1,Pass,0.0157067017965434,82.6189846249825,999,1,
S48-A16,7wM5mac30,Unknown,1,IL6,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A17,7wM5mac30,Unknown,1,PDPN,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A18,7wM5mac30,Unknown,1,TPP1,Test,15.8790864624459,1,Pass,0.0157067017965434,81.0434001448075,999,1,
S48-A19,7wM5mac30,Unknown,1,CCL2,Test,15.6752410833795,1,Pass,0.0157067017965434,81.2423593729403,999,1,
S48-A20,7wM5mac30,Unknown,1,CD74,Test,7.60184257300035,1,Pass,0.0157067017965434,81.1613159894584,999,1,
S48-A21,7wM5mac30,Unknown,1,FCGR3,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A22,7wM5mac30,Unknown,1,ITGAM,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A23,7wM5mac30,Unknown,1,PROX1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A24,7wM5mac30,Unknown,1,VEGFC,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A25,7wM5mac30,Unknown,1,CCL21A,Test,15.7170275350151,1,Pass,0.0157067017965434,78.5947066583654,999,1,
S48-A26,7wM5mac30,Unknown,1,CD80,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A27,7wM5mac30,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A28,7wM5mac30,Unknown,1,ITGAX,Test,13.7665121881277,1,Pass,0.0157067017965434,80.6942371114624,999,1,
S48-A29,7wM5mac30,Unknown,1,S1PR1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A30,7wM5mac30,Unknown,1,XCR1,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A31,7wM5mac30,Unknown,1,CCL22,Test,999,0,Fail,0.0157067017965434,999,999,0,
S48-A32,7wM5mac30,Unknown,1,CD86,Test,17.9099408121411,0.99919988054381,Pass,0.0157067017965434,80.777343201683,999,1,
S48-A33,7wM5mac30,Unknown,1,H2-AA,Test,8.34405020337132,1,Pass,0.0157067017965434,85.1917225935294,999,1,
S48-A34,7wM5mac30,Unknown,1,LAMP2,Test,14.0086242963208,1,Pass,0.0157067017965434,82.5731789709051,999,1,
S48-A35,7wM5mac30,Unknown,1,SELENOP,Test,13.4964720920352,1,Pass,0.0157067017965434,81.3615910524731,999,1,
S48-A36,7wM5mac30,Unknown,1,HIF1A,Test,15.7933231699058,1,Pass,0.0157067017965434,76.813848419692,999,1,
