Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\082218MHMacrophages4-2\ChipRun.bml,1131433250,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,8/21/2018 8:37:41 PM,00:30:34,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,noRT2,Unknown,1,ABCA1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A02,noRT2,Unknown,1,CD164,Test,19.3590785186804,1,Pass,0.0168734359788604,80.2676990609106,999,1,
S48-A03,noRT2,Unknown,1,CXCL10,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A04,noRT2,Unknown,1,IL1A,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A05,noRT2,Unknown,1,LYVE1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A06,noRT2,Unknown,1,SPP1,Test,25.4073098841483,0,Fail,0.0168734359788604,999,83.797172308514,0,
S48-A07,noRT2,Unknown,1,B2M,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A08,noRT2,Unknown,1,PDL1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A09,noRT2,Unknown,1,CXCL9,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A10,noRT2,Unknown,1,IL1B,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A11,noRT2,Unknown,1,MDK,Test,19.1109706519117,1,Pass,0.0168734359788604,81.2852228330012,999,1,
S48-A12,noRT2,Unknown,1,TLR4,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A13,noRT2,Unknown,1,CCL1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A14,noRT2,Unknown,1,CD40,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A15,noRT2,Unknown,1,F4-80,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A16,noRT2,Unknown,1,IL6,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A17,noRT2,Unknown,1,PDPN,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A18,noRT2,Unknown,1,TPP1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A19,noRT2,Unknown,1,CCL2,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A20,noRT2,Unknown,1,CD74,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A21,noRT2,Unknown,1,FCGR3,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A22,noRT2,Unknown,1,ITGAM,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A23,noRT2,Unknown,1,PROX1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A24,noRT2,Unknown,1,VEGFC,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A25,noRT2,Unknown,1,CCL21A,Test,18.3522966789686,1,Pass,0.0168734359788604,78.4255180759904,999,1,
S48-A26,noRT2,Unknown,1,CD80,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A27,noRT2,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A28,noRT2,Unknown,1,ITGAX,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A29,noRT2,Unknown,1,S1PR1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A30,noRT2,Unknown,1,XCR1,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A31,noRT2,Unknown,1,CCL22,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A32,noRT2,Unknown,1,CD86,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A33,noRT2,Unknown,1,H2-AA,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A34,noRT2,Unknown,1,LAMP2,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A35,noRT2,Unknown,1,SELENOP,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A36,noRT2,Unknown,1,HIF1A,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A37,noRT2,Unknown,1,CCR7,Test,18.5379742481939,1,Pass,0.0168734359788604,82.3073615202208,999,1,
S48-A38,noRT2,Unknown,1,CSF1R,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A39,noRT2,Unknown,1,H2-DMA,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A40,noRT2,Unknown,1,LY6G,Test,999,0,Fail,0.0168734359788604,999,999,0,
S48-A41,noRT2,Unknown,1,SGPL1,Test,999,0,Fail,0.0168734359788604,999,999,0,
