Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062618MHMacrophages3-2\ChipRun.bml,1131264280,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/25/2018 8:50:24 PM,00:30:45,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A04,7wM6mac1,Unknown,1,IL1A,Test,17.9743052038806,1,Pass,0.0141259454859772,78.4069885565324,999,1,
S03-A05,7wM6mac1,Unknown,1,LYVE1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A06,7wM6mac1,Unknown,1,SPP1,Test,21.9230857118056,0,Fail,0.0141259454859772,999,83.2459062492314,0,
S03-A07,7wM6mac1,Unknown,1,B2M,Test,10.0966662039684,1,Pass,0.0141259454859772,81.2020531324062,999,1,
S03-A08,7wM6mac1,Unknown,1,PDL1,Test,16.5048229383353,1,Pass,0.0141259454859772,82.0981033958466,999,1,
S03-A09,7wM6mac1,Unknown,1,CXCL9,Test,9.40560026404487,1,Pass,0.0141259454859772,80.6767022845217,999,1,
S03-A10,7wM6mac1,Unknown,1,IL1B,Test,13.6771641263473,1,Pass,0.0141259454859772,79.6089646012388,999,1,
S03-A11,7wM6mac1,Unknown,1,MDK,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A12,7wM6mac1,Unknown,1,TLR4,Test,18.7426501018072,1,Pass,0.0141259454859772,79.070157322066,999,1,
S03-A13,7wM6mac1,Unknown,1,CCL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A14,7wM6mac1,Unknown,1,CD40,Test,18.5560404878165,1,Pass,0.0141259454859772,82.0561484192147,999,1,
S03-A15,7wM6mac1,Unknown,1,F4-80,Test,19.3879300701688,0.991504834621281,Pass,0.0141259454859772,81.9843607947393,999,1,
S03-A16,7wM6mac1,Unknown,1,IL6,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A17,7wM6mac1,Unknown,1,PDPN,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A18,7wM6mac1,Unknown,1,TPP1,Test,16.8172931177499,1,Pass,0.0141259454859772,80.6183125356082,999,1,
S03-A19,7wM6mac1,Unknown,1,CCL2,Test,26.6736652599814,0,Fail,0.0141259454859772,999,85.0667913595033,0,
S03-A20,7wM6mac1,Unknown,1,CD74,Test,8.92832595311247,1,Pass,0.0141259454859772,80.7136424369434,999,1,
S03-A21,7wM6mac1,Unknown,1,FCGR3,Test,25.7173933068794,1,Pass,0.0141259454859772,81.3725633083889,999,1,
S03-A22,7wM6mac1,Unknown,1,ITGAM,Test,16.1101894015952,1,Pass,0.0141259454859772,80.6016898860656,999,1,
S03-A23,7wM6mac1,Unknown,1,PROX1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A24,7wM6mac1,Unknown,1,VEGFC,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A25,7wM6mac1,Unknown,1,CCL21A,Test,16.9393247978435,1,Pass,0.0141259454859772,78.048663042176,999,1,
S03-A26,7wM6mac1,Unknown,1,CD80,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A27,7wM6mac1,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A28,7wM6mac1,Unknown,1,ITGAX,Test,14.5406848529571,1,Pass,0.0141259454859772,80.2249779427815,999,1,
S03-A29,7wM6mac1,Unknown,1,S1PR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A30,7wM6mac1,Unknown,1,XCR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A31,7wM6mac1,Unknown,1,CCL22,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A32,7wM6mac1,Unknown,1,CD86,Test,21.9050015908104,1,Pass,0.0141259454859772,80.2253363321212,999,1,
S03-A33,7wM6mac1,Unknown,1,H2-AA,Test,9.45675333362023,1,Pass,0.0141259454859772,84.7699719620146,999,1,
S03-A34,7wM6mac1,Unknown,1,LAMP2,Test,13.802303408216,1,Pass,0.0141259454859772,82.035773699295,999,1,
S03-A35,7wM6mac1,Unknown,1,SELENOP,Test,13.1321996675094,1,Pass,0.0141259454859772,80.9355973544107,999,1,
S03-A36,7wM6mac1,Unknown,1,HIF1A,Test,16.8134392963305,1,Pass,0.0141259454859772,76.2925031032393,999,1,
S03-A37,7wM6mac1,Unknown,1,CCR7,Test,18.0768083824665,1,Pass,0.0141259454859772,81.8704925571375,999,1,
S03-A38,7wM6mac1,Unknown,1,CSF1R,Test,12.9073249625079,1,Pass,0.0141259454859772,82.166782774093,999,1,
S03-A39,7wM6mac1,Unknown,1,H2-DMA,Test,13.0475139538473,1,Pass,0.0141259454859772,83.0875378644454,999,1,
S03-A40,7wM6mac1,Unknown,1,LY6G,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A41,7wM6mac1,Unknown,1,SGPL1,Test,15.3359011589874,1,Pass,0.0141259454859772,83.227218526129,999,1,
S03-A42,7wM6mac1,Unknown,1,LTA,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A43,7wM6mac1,Unknown,1,CD14,Test,17.5369679010687,1,Pass,0.0141259454859772,83.6218855312119,999,1,
S03-A44,7wM6mac1,Unknown,1,CTSD,Test,14.8925158880591,1,Pass,0.0141259454859772,82.3266363297955,999,1,
S03-A45,7wM6mac1,Unknown,1,HIF2A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A46,7wM6mac1,Unknown,1,LY75,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A47,7wM6mac1,Unknown,1,SPHK1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S03-A48,7wM6mac1,Unknown,1,LTB,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A01,7wM6mac30,Unknown,1,ABCA1,Test,16.9083296261719,1,Pass,0.0141259454859772,77.4304583571092,999,1,
S47-A02,7wM6mac30,Unknown,1,CD164,Test,17.5512229764334,1,Pass,0.0141259454859772,80.6721139840104,999,1,
S47-A03,7wM6mac30,Unknown,1,CXCL10,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A04,7wM6mac30,Unknown,1,IL1A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A05,7wM6mac30,Unknown,1,LYVE1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A06,7wM6mac30,Unknown,1,SPP1,Test,19.9805781854605,0,Fail,0.0141259454859772,999,83.1243989158529,0,
S47-A07,7wM6mac30,Unknown,1,B2M,Test,9.40442758066345,1,Pass,0.0141259454859772,81.2326950198351,999,1,
S47-A08,7wM6mac30,Unknown,1,PDL1,Test,13.7783787456761,1,Pass,0.0141259454859772,82.2932103504018,999,1,
S47-A09,7wM6mac30,Unknown,1,CXCL9,Test,9.48047680993115,1,Pass,0.0141259454859772,80.5845356879606,999,1,
