Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\082118MHMacrophages4-1\ChipRun.bml,1131433216,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,8/20/2018 8:50:27 PM,00:30:50,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A01,7wM8mac29,Unknown,1,ABCA1,Test,20.0189757957292,1,Pass,0.0161758178761827,78.1537539733583,999,1,
S48-A02,7wM8mac29,Unknown,1,CD164,Test,15.7419080527078,1,Pass,0.0161758178761827,81.3028010785022,999,1,
S48-A03,7wM8mac29,Unknown,1,CXCL10,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A04,7wM8mac29,Unknown,1,IL1A,Test,17.2946431044307,1,Pass,0.0161758178761827,78.9060661266757,999,1,
S48-A05,7wM8mac29,Unknown,1,LYVE1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A06,7wM8mac29,Unknown,1,SPP1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A07,7wM8mac29,Unknown,1,B2M,Test,10.2964682528444,1,Pass,0.0161758178761827,81.745819731389,999,1,
S48-A08,7wM8mac29,Unknown,1,PDL1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A09,7wM8mac29,Unknown,1,CXCL9,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A10,7wM8mac29,Unknown,1,IL1B,Test,16.0236435310554,1,Pass,0.0161758178761827,79.9522691345808,999,1,
S48-A11,7wM8mac29,Unknown,1,MDK,Test,21.6719609978112,1,Pass,0.0161758178761827,81.5676806948097,999,1,
S48-A12,7wM8mac29,Unknown,1,TLR4,Test,20.543510542493,1,Pass,0.0161758178761827,79.6742026510653,999,1,
S48-A13,7wM8mac29,Unknown,1,CCL1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A14,7wM8mac29,Unknown,1,CD40,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A15,7wM8mac29,Unknown,1,F4-80,Test,21.1864108325768,0.967761263980692,Pass,0.0161758178761827,82.4265889872297,999,1,
S48-A16,7wM8mac29,Unknown,1,IL6,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A17,7wM8mac29,Unknown,1,PDPN,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A18,7wM8mac29,Unknown,1,TPP1,Test,20.7232022034994,1,Pass,0.0161758178761827,81.0210505443913,999,1,
S48-A19,7wM8mac29,Unknown,1,CCL2,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A20,7wM8mac29,Unknown,1,CD74,Test,9.86964889149061,1,Pass,0.0161758178761827,81.0448735819002,999,1,
S48-A21,7wM8mac29,Unknown,1,FCGR3,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A22,7wM8mac29,Unknown,1,ITGAM,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A23,7wM8mac29,Unknown,1,PROX1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A24,7wM8mac29,Unknown,1,VEGFC,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A25,7wM8mac29,Unknown,1,CCL21A,Test,17.4977001983655,1,Pass,0.0161758178761827,78.336911876597,999,1,
S48-A26,7wM8mac29,Unknown,1,CD80,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A27,7wM8mac29,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A28,7wM8mac29,Unknown,1,ITGAX,Test,22.295355085302,1,Pass,0.0161758178761827,80.7897687844638,999,1,
S48-A29,7wM8mac29,Unknown,1,S1PR1,Test,21.292032044618,1,Pass,0.0161758178761827,86.3067375641045,999,1,
S48-A30,7wM8mac29,Unknown,1,XCR1,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A31,7wM8mac29,Unknown,1,CCL22,Test,999,0,Fail,0.0161758178761827,999,999,0,
S48-A32,7wM8mac29,Unknown,1,CD86,Test,23.7535036830999,1,Pass,0.0161758178761827,80.8240557543673,999,1,
S48-A33,7wM8mac29,Unknown,1,H2-AA,Test,9.958773156232,1,Pass,0.0161758178761827,85.1627993459983,999,1,
S48-A34,7wM8mac29,Unknown,1,LAMP2,Test,18.4267515407756,1,Pass,0.0161758178761827,82.4467920279425,999,1,
S48-A35,7wM8mac29,Unknown,1,SELENOP,Test,18.3310956770704,1,Pass,0.0161758178761827,81.4018242572728,999,1,
S48-A36,7wM8mac29,Unknown,1,HIF1A,Test,25.3327933447702,1,Pass,0.0161758178761827,76.7810482915841,999,1,
