Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\042518MHMacrophage1-2\ChipRun.bml,1131264276,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/24/2018 8:52:07 PM,00:30:44,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S48-A44,heart,Unknown,1,CTSD,Test,2.5,0.166666666666667,Pass,0.00565095684104357,82.7915851868274,999,1,
S48-A45,heart,Unknown,1,IL10,Test,15.7494222014356,0,Fail,0.00565095684104357,999,999,0,
S48-A46,heart,Unknown,1,LY75,Test,11.1104837245416,1,Pass,0.00565095684104357,81.7334987070166,999,1,
S48-A47,heart,Unknown,1,SPHK1,Test,2.5,0.166666666666667,Fail,0.00565095684104357,86.2784952184124,999,1,
S48-A48,heart,Unknown,1,blank3,Test,999,0,Fail,0.00565095684104357,999,999,0,
S03-A01,7wImac9,Unknown,1,ABCA1,Test,15.3548507347747,1,Pass,0.00565095684104357,77.7906444339233,999,1,
S03-A02,7wImac9,Unknown,1,CD164,Test,14.0041824781902,1,Pass,0.00565095684104357,81.4116598594069,999,1,
S03-A03,7wImac9,Unknown,1,CXCL10,Test,14.1591835323177,1,Pass,0.00565095684104357,81.7691601899531,999,1,
S03-A04,7wImac9,Unknown,1,IL1A,Test,15.1247296526845,1,Pass,0.00565095684104357,79.7564704710838,999,1,
S03-A05,7wImac9,Unknown,1,LYVE1,Test,13.6785546173621,0.829309994805131,Pass,0.00565095684104357,81.0864301167072,999,1,
S03-A06,7wImac9,Unknown,1,SPP1,Test,14.0430693745569,1,Pass,0.00565095684104357,80.7343396774919,999,1,
S03-A07,7wImac9,Unknown,1,B2M,Test,9.18318356416747,1,Pass,0.00565095684104357,80.7889225447504,999,1,
S03-A08,7wImac9,Unknown,1,PDL1,Test,12.8592383300942,0.84065117732178,Pass,0.00565095684104357,82.7017605499332,999,1,
S03-A09,7wImac9,Unknown,1,CXCL9,Test,7.30702978617475,1,Pass,0.00565095684104357,81.4136183801529,66.6275779700022,0.924299630888806,
S03-A10,7wImac9,Unknown,1,IL1B,Test,12.7904599284016,1,Pass,0.00565095684104357,80.2385861942243,999,1,
S03-A11,7wImac9,Unknown,1,MDK,Test,14.8608018786158,1,Pass,0.00565095684104357,80.6859438013899,999,1,
S03-A12,7wImac9,Unknown,1,TLR4,Test,15.4323829276369,0,Fail,0.00565095684104357,999,999,0,
S03-A13,7wImac9,Unknown,1,CCL1,Test,15.5754142166341,1,Pass,0.00565095684104357,80.4158920210607,999,1,
S03-A14,7wImac9,Unknown,1,CD40,Test,14.7985067838641,1,Pass,0.00565095684104357,80.8435955378191,999,1,
S03-A15,7wImac9,Unknown,1,F4-80,Test,15.8852439533229,0,Fail,0.00565095684104357,999,999,0,
S03-A16,7wImac9,Unknown,1,IL6,Test,16.2167688736134,0,Fail,0.00565095684104357,999,80.4027136902003,0,
S03-A17,7wImac9,Unknown,1,PDPN,Test,16.3868403087009,0,Fail,0.00565095684104357,999,80.4184662975484,0,
S03-A18,7wImac9,Unknown,1,TPP1,Test,15.8577345612709,1,Pass,0.00565095684104357,80.57953513224,999,1,
S03-A19,7wImac9,Unknown,1,CCL2,Test,16.8206674893653,1,Pass,0.00565095684104357,80.3857943057448,999,1,
S03-A20,7wImac9,Unknown,1,CD74,Test,8.27576495332558,1,Pass,0.00565095684104357,80.6419722531966,999,1,
S03-A21,7wImac9,Unknown,1,FCGR3,Test,17.6011409075963,1,Pass,0.00565095684104357,80.372747293463,999,1,
S03-A22,7wImac9,Unknown,1,ITGAM,Test,17.9481425131446,1,Pass,0.00565095684104357,80.3652995634191,999,1,
S03-A23,7wImac9,Unknown,1,PROX1,Test,18.3879390908806,1,Pass,0.00565095684104357,80.3105258181392,999,1,
S03-A24,7wImac9,Unknown,1,VEGFC,Test,18.7348935512505,0.988800125162777,Pass,0.00565095684104357,80.3749559421803,999,1,
S03-A25,7wImac9,Unknown,1,CCL21A,Test,16.6103167605904,0,Fail,0.00565095684104357,999,79.5786534792951,0,
S03-A26,7wImac9,Unknown,1,CD80,Test,19.5774511509439,0,Fail,0.00565095684104357,999,999,0,
S03-A27,7wImac9,Unknown,1,VEGF-R3,Test,19.7900464712706,0,Fail,0.00565095684104357,999,80.3852320993378,0,
S03-A28,7wImac9,Unknown,1,ITGAX,Test,17.8368026304071,0.971419532971811,Pass,0.00565095684104357,80.347488134872,999,1,
S03-A29,7wImac9,Unknown,1,S1PR1,Test,20.8202182705328,0,Fail,0.00565095684104357,999,80.3951492046282,0,
S03-A30,7wImac9,Unknown,1,XCR1,Test,18.9168051591552,1,Pass,0.00565095684104357,81.3489334546281,999,1,
S03-A31,7wImac9,Unknown,1,CCL22,Test,19.5778884094082,0.909891427322158,Pass,0.00565095684104357,80.8746716788882,999,1,
S03-A32,7wImac9,Unknown,1,CD86,Test,20.8217479357251,0.863758968662599,Pass,0.00565095684104357,80.4504437467423,999,1,
S03-A33,7wImac9,Unknown,1,H2-AA,Test,7.30667075182254,1,Pass,0.00565095684104357,84.6205691536575,999,1,
S03-A34,7wImac9,Unknown,1,LAMP2,Test,13.9941488024317,0.982114899706847,Pass,0.00565095684104357,81.7377178008381,999,1,
S03-A35,7wImac9,Unknown,1,SELENOP,Test,14.8230678217183,0.871601821614997,Pass,0.00565095684104357,80.9283754862389,999,1,
S03-A36,7wImac9,Unknown,1,blank1,Test,24.307950298562,0.692156892791043,Pass,0.00565095684104357,80.6293281884282,999,1,
S03-A37,7wImac9,Unknown,1,CCR7,Test,16.8472134085147,1,Pass,0.00565095684104357,81.8175949317663,999,1,
S03-A38,7wImac9,Unknown,1,CSF1R,Test,11.2713578993236,1,Pass,0.00565095684104357,82.0420462810233,999,1,
S03-A39,7wImac9,Unknown,1,H2-DMA,Test,14.1931926428115,0.956651499875915,Pass,0.00565095684104357,82.8243114948104,999,1,
S03-A40,7wImac9,Unknown,1,LY6G,Test,27.1399746847831,0.554016683788381,Fail,0.00565095684104357,80.9995586830865,999,1,
S03-A41,7wImac9,Unknown,1,SGPL1,Test,16.5142920640466,1,Pass,0.00565095684104357,83.2169277738859,999,1,
S03-A42,7wImac9,Unknown,1,blank2,Test,999,0,Fail,0.00565095684104357,999,999,0,
S03-A43,7wImac9,Unknown,1,CD14,Test,17.4249635874646,0.951828659657989,Pass,0.00565095684104357,83.6705006611632,999,1,
S03-A44,7wImac9,Unknown,1,CTSD,Test,18.2268114476805,0.942503325823221,Pass,0.00565095684104357,82.5891481134296,999,1,
S03-A45,7wImac9,Unknown,1,IL10,Test,999,0,Fail,0.00565095684104357,999,999,0,
S03-A46,7wImac9,Unknown,1,LY75,Test,999,0,Fail,0.00565095684104357,999,999,0,
S03-A47,7wImac9,Unknown,1,SPHK1,Test,16.5429695266038,1,Pass,0.00565095684104357,88.0098353350898,999,1,
S03-A48,7wImac9,Unknown,1,blank3,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A01,7wImac95,Unknown,1,ABCA1,Test,14.1600733003147,1,Pass,0.00565095684104357,77.7230508019565,999,1,
S47-A02,7wImac95,Unknown,1,CD164,Test,14.7738025322528,1,Pass,0.00565095684104357,80.9072084427373,999,1,
S47-A03,7wImac95,Unknown,1,CXCL10,Test,16.1443482663845,1,Pass,0.00565095684104357,81.9344752447612,999,1,
S47-A04,7wImac95,Unknown,1,IL1A,Test,16.9684980892096,1,Pass,0.00565095684104357,78.4005274835142,999,1,
S47-A05,7wImac95,Unknown,1,LYVE1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A06,7wImac95,Unknown,1,SPP1,Test,17.9731648391222,0,Fail,0.00565095684104357,999,83.2356128669341,0,
S47-A07,7wImac95,Unknown,1,B2M,Test,9.7722308676159,1,Pass,0.00565095684104357,81.1488837371447,999,1,
